Station_Code,Location,State,Temperature_C_Min,Temperature_C_Max,Temperature_C_Mean,DO_mg_l_Min,DO_mg_l_Max,DO_mg_l_Mean,pH_Min,pH_Max,pH_Mean,Conductivity_umhos_cm_Min,Conductivity_umhos_cm_Max,Conductivity_umhos_cm_Mean,BOD_mg_l_Min,BOD_mg_l_Max,BOD_mg_l_Mean,Nitrate_N_mg_l_Min,Nitrate_N_mg_l_Max,Nitrate_N_mg_l_Mean,Fecal_Coliform_MPN_100ml_Min,Fecal_Coliform_MPN_100ml_Max,Fecal_Coliform_MPN_100ml_Mean,Total_Coliform_MPN_100ml_Min,Total_Coliform_MPN_100ml_Max,Total_Coliform_MPN_100ml_Mean,Year
1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,16.0,25.0,20.0,6.8,8.8,7.7,7.7,8.1,7.9,159.0,361.0,240.0,3.1,3.8,3.5,0.78,0.9,0.84,4300.0,4900.0,4642.0,7000.0,8500.0,7883.0,2012
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,16.0,25.0,20.0,6.9,8.4,7.8,7.7,8.1,7.9,156.0,358.0,237.0,3.1,3.7,3.4,0.76,0.88,0.81,3900.0,4700.0,4400.0,6900.0,8200.0,7658.0,2012
1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,20.0,30.0,24.0,4.4,9.3,7.4,7.7,8.5,8.2,310.0,699.0,459.0,2.6,8.0,5.6,0.71,2.2,1.16,2200.0,3500.0,3058.0,6000.0,9000.0,7583.0,2012
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,20.0,30.0,24.0,6.7,9.6,7.8,7.7,8.4,8.2,302.0,684.0,441.0,2.5,6.9,4.8,0.69,2.1,1.09,2100.0,2800.0,2600.0,3500.0,8000.0,4958.0,2012
1049,GANGA AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,20.0,30.0,25.0,4.7,8.7,7.1,7.7,8.4,8.2,300.0,798.0,511.0,2.7,7.3,5.1,0.78,2.66,1.26,3000.0,4000.0,3450.0,6000.0,12000.0,9500.0,2012
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,16.0,32.0,26.0,5.3,11.5,8.5,7.4,8.6,7.9,275.0,649.0,456.0,2.2,3.8,2.8,0.58,4.1,2.94,490.0,1100.0,813.0,2200.0,3500.0,2575.0,2012
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,16.0,32.0,27.0,5.2,10.8,7.8,7.3,8.5,7.8,276.0,654.0,460.0,3.0,4.3,3.3,1.52,5.7,4.09,1300.0,3100.0,2133.0,2800.0,5400.0,4058.0,2012
1070,GANGA AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,19.0,29.0,25.0,7.3,8.6,7.9,7.7,8.5,8.2,230.0,278.0,251.0,2.8,3.5,3.2,,,,5000.0,8000.0,6783.0,8000.0,94000.0,16467.0,2012
1491,"BHAGIRATHI AT GANGOTRI, UTTAR PRADESH",UTTARAKHAND,3.3,7.0,5.2,8.3,8.8,8.6,8.4,8.5,8.5,126.0,126.0,126.0,,,,0.0,0.0,0.0,220.0,220.0,220.0,220.0,220.0,220.0,2013
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,11.3,19.0,15.4,7.4,10.6,8.7,7.4,8.4,8.1,124.0,124.0,124.0,0.2,1.0,0.7,0.0,0.0,0.0,790.0,790.0,790.0,1700.0,1700.0,1700.0,2013
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,11.3,19.0,16.0,7.6,10.0,8.6,7.5,8.7,8.1,183.0,183.0,183.0,0.8,2.0,1.4,0.0,0.0,0.0,78.0,78.0,78.0,230.0,230.0,230.0,2013
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",UTTARAKHAND,14.0,20.0,17.1,7.4,11.2,9.0,7.8,8.6,8.2,170.0,170.0,170.0,0.4,1.8,1.2,0.0,0.0,0.0,40.0,40.0,40.0,140.0,140.0,140.0,2013
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,13.2,20.0,16.8,7.6,10.0,8.6,7.9,8.5,8.3,151.0,151.0,151.0,1.2,2.0,1.6,0.0,0.0,0.0,45.0,45.0,45.0,330.0,330.0,330.0,2013
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,10.6,21.0,16.8,7.4,9.2,8.6,7.3,8.2,7.9,,,,0.8,2.4,1.5,0.0,0.0,0.0,,,,14.0,110.0,32.0,2013
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,13.0,24.0,20.0,5.4,8.0,6.7,7.4,8.2,7.9,,,,2.0,13.0,5.5,0.0,0.0,0.0,,,,300.0,1600.0,1283.0,2013
1061,"GANGA AT HARIDWAR D/S, U.P",UTTARAKHAND,19.0,19.0,19.0,5.6,7.8,6.5,7.5,8.3,7.8,,,,2.2,7.8,5.2,0.0,0.0,0.0,,,,500.0,1600.0,1245.0,2013
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15.0,15.0,15.0,7.2,8.8,7.9,7.8,8.3,8.1,,,,1.2,3.0,2.5,0.0,0.0,0.0,,,,110.0,500.0,235.0,2013
1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH,15.0,27.0,21.9,7.0,11.2,9.0,6.8,7.8,7.4,190.0,480.0,273.0,2.2,5.2,2.9,0.4,1.23,1.0,550.0,1400.0,767.0,920.0,2400.0,1402.0,2013
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,,,,,,,7.0,7.5,7.4,171.0,330.0,241.0,1.1,3.6,2.6,0.0,0.0,0.0,,,,,,,2013
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,,,,,,,7.0,7.5,7.4,170.0,320.0,243.0,1.2,3.4,2.5,0.0,0.0,0.0,,,,,,,2013
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",UTTAR PRADESH,,,,,,,7.0,7.5,7.4,174.0,310.0,243.0,1.2,3.4,2.4,0.0,0.0,0.0,,,,,,,2013
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,,,,,,,7.4,7.5,7.5,150.0,340.0,257.0,1.8,3.2,2.4,0.0,0.0,0.0,,,,,,,2013
1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,12.0,33.0,25.8,6.5,9.9,8.2,7.4,9.3,8.0,21.0,180.0,45.0,3.0,5.4,4.0,0.18,3.6,3.0,700.0,2100.0,1210.0,2000.0,6400.0,4075.0,2013
1066,"GANGA AT KANNAUJ D/S, U.P",UTTAR PRADESH,12.0,33.0,25.3,6.4,9.6,7.9,7.6,9.2,8.1,18.0,183.0,44.0,2.0,5.8,4.2,0.16,2.56,2.0,900.0,2300.0,1569.0,2300.0,6400.0,4638.0,2013
1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH,12.0,33.0,25.6,6.4,10.6,8.5,7.4,8.7,8.1,19.0,195.0,41.0,2.3,3.8,3.2,0.14,2.2,2.0,700.0,2100.0,1300.0,2300.0,4300.0,3792.0,2013
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH,12.0,33.0,25.6,6.1,10.8,8.3,7.5,8.7,8.1,20.0,120.0,37.0,2.5,4.1,3.4,0.16,2.3,2.0,700.0,2500.0,1438.0,2300.0,44500.0,6992.0,2013
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH,12.0,33.0,25.6,5.4,8.9,6.8,7.3,8.7,8.1,26.0,270.0,59.0,4.0,15.6,6.7,0.24,5.44,3.0,8400.0,28000.0,13292.0,40000.0,210000.0,70462.0,2013
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH,14.0,23.0,19.1,6.8,10.5,8.3,7.7,7.8,7.8,152.0,281.0,212.0,3.2,3.8,3.6,0.8,1.22,1.0,4300.0,4900.0,4645.0,7000.0,7900.0,7591.0,2013
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,14.0,24.0,19.1,6.9,10.5,8.4,7.7,7.8,7.8,150.0,278.0,208.0,3.0,3.7,3.4,0.76,1.02,1.0,4100.0,4800.0,4400.0,6900.0,7800.0,7355.0,2013
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH,19.8,30.5,24.7,6.9,10.8,8.5,8.0,8.3,8.2,338.0,385.0,367.0,2.5,4.8,3.6,2.44,2.56,2.0,3000.0,17000.0,5033.0,10000.0,33000.0,21417.0,2013
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,19.4,30.2,24.3,6.8,10.2,8.4,7.8,8.3,8.2,358.0,398.0,374.0,2.8,4.4,3.4,2.4,2.66,2.0,3000.0,140000.0,16100.0,9000.0,32000.0,22417.0,2013
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,19.6,30.8,24.7,6.6,9.7,8.2,8.1,8.4,8.3,368.0,501.0,429.0,2.8,4.6,3.6,2.78,3.3,3.0,3100.0,21000.0,6475.0,17000.0,38000.0,24333.0,2013
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,14.0,32.0,26.2,5.5,11.6,8.8,7.4,8.2,7.9,237.0,582.0,362.0,2.2,3.1,2.6,1.24,2.56,2.0,490.0,2100.0,1441.0,1700.0,4600.0,3542.0,2013
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,14.0,34.0,27.2,5.1,10.8,8.4,7.4,8.9,7.9,238.0,582.0,365.0,2.4,3.6,3.1,1.46,2.22,2.0,1100.0,4600.0,2808.0,2200.0,7000.0,4600.0,2013
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,21.0,24.5,23.2,6.9,8.8,8.4,7.6,8.4,8.2,268.0,370.0,291.0,2.9,3.2,3.0,0.0,0.0,0.0,5000.0,8000.0,5500.0,7000.0,13000.0,8833.0,2013
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH,21.0,24.5,23.2,6.4,8.3,7.9,7.7,8.7,8.5,306.0,392.0,327.0,3.3,5.1,4.6,0.15,1.98,1.64,31000.0,46000.0,34500.0,43000.0,70000.0,49500.0,2013
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,22.0,24.5,23.6,6.8,8.4,7.9,7.6,8.6,8.4,285.0,390.0,336.0,2.7,4.1,3.7,0.0,0.0,0.0,13000.0,23000.0,15167.0,17000.0,46000.0,22500.0,2013
1074,"GANGA AT BUXAR,BIHAR",BIHAR,17.0,17.0,17.0,8.6,8.6,8.6,8.4,8.4,8.4,282.0,542.0,387.0,2.7,2.7,2.7,0.0,0.0,0.0,1300.0,3000.0,1913.0,3000.0,9000.0,5250.0,2013
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,17.0,35.0,26.5,7.6,8.2,7.9,7.6,8.4,8.0,281.0,553.0,391.0,2.6,2.9,2.7,0.0,0.0,0.0,2400.0,9000.0,4925.0,9000.0,24000.0,13143.0,2013
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",BIHAR,9.0,32.0,24.9,7.5,8.8,8.0,7.8,8.4,8.1,265.0,437.0,341.0,2.4,2.7,2.6,0.0,0.0,0.0,1100.0,5000.0,2356.0,2400.0,9000.0,5378.0,2013
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,10.0,30.0,23.2,7.3,9.0,8.0,7.4,8.2,7.8,12.0,256.0,161.0,2.0,2.4,2.2,0.0,0.0,0.0,500.0,900.0,650.0,1300.0,2400.0,1733.0,2013
2564,"GANGAAT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,14.0,34.0,25.7,7.4,9.3,8.3,7.8,8.3,8.1,243.0,386.0,304.0,2.1,2.7,2.5,0.0,0.0,0.0,1300.0,2400.0,1729.0,3000.0,5000.0,3929.0,2013
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,9.0,32.0,25.1,7.2,8.6,7.8,7.8,8.1,7.9,284.0,490.0,350.0,2.5,2.9,2.7,0.0,0.0,0.0,2400.0,9000.0,7378.0,9000.0,24000.0,19571.0,2013
1079,"GANGA AT PATNA D/S (GANGA BRIDGE), BIHAR",BIHAR,10.0,33.0,25.2,7.0,8.7,7.9,7.6,8.2,7.8,275.0,530.0,357.0,2.6,3.0,2.8,0.0,0.0,0.0,3000.0,9000.0,5222.0,9000.0,24000.0,14143.0,2013
2555,"GANGA AT PUNPUN, PATNA",BIHAR,8.4,33.0,25.7,7.0,8.7,7.7,7.3,8.4,7.9,285.0,756.0,444.0,2.5,8.7,4.0,0.0,0.0,0.0,700.0,2400.0,1713.0,1700.0,5000.0,3463.0,2013
2553,GANGA AT FATUHA,BIHAR,8.0,33.0,25.3,7.5,8.7,8.1,7.6,8.2,7.8,267.0,429.0,351.0,2.4,2.7,2.5,0.0,0.0,0.0,1100.0,3000.0,2300.0,2800.0,9000.0,6700.0,2013
1817,GANGA AT MOKAMA (U/S),BIHAR,11.0,28.0,24.1,6.1,8.8,7.9,7.8,8.2,8.0,279.0,310.0,288.0,2.4,2.6,2.5,0.0,0.0,0.0,1100.0,1700.0,1410.0,2200.0,5000.0,3280.0,2013
1815,GANGA AT MOKAMA (D/S),BIHAR,11.0,28.0,24.5,5.9,8.6,7.8,7.6,8.1,7.9,310.0,346.0,330.0,2.4,2.9,2.8,0.0,0.0,0.0,3000.0,9000.0,5000.0,9000.0,16000.0,14250.0,2013
1818,GANGA AT MUNGER,BIHAR,21.0,30.0,26.1,5.8,8.5,7.6,7.6,8.0,7.9,260.0,336.0,286.0,2.4,2.7,2.5,0.0,0.0,0.0,1100.0,3000.0,1645.0,2400.0,5000.0,3455.0,2013
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,22.0,30.0,26.1,5.9,8.5,7.8,7.6,8.0,7.8,256.0,332.0,287.0,2.4,2.7,2.6,0.0,0.0,0.0,800.0,3000.0,1418.0,2400.0,5000.0,3200.0,2013
1819,GANGA AT BHAGALPUR,BIHAR,17.0,28.0,25.2,5.9,8.5,7.6,7.7,8.0,7.8,279.0,383.0,303.0,2.4,2.8,2.7,0.0,0.0,0.0,2200.0,3000.0,2673.0,5000.0,9000.0,6818.0,2013
1816,GANGA AT KAHALGAON,BIHAR,19.0,28.0,25.3,6.0,8.6,7.8,7.8,8.1,8.0,232.0,332.0,263.0,2.5,2.9,2.7,0.0,0.0,0.0,2200.0,5000.0,3055.0,5000.0,9000.0,7909.0,2013
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,17.0,34.0,26.3,7.4,8.4,8.0,7.5,8.4,8.0,283.0,553.0,383.0,2.5,2.8,2.6,0.0,0.0,0.0,1100.0,5000.0,2750.0,3000.0,16000.0,9500.0,2013
3114,GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),BIHAR,9.0,32.0,24.8,7.3,8.3,8.0,7.5,8.3,8.0,268.0,460.0,336.0,2.4,2.7,2.6,0.0,0.0,0.0,1100.0,3000.0,1889.0,2400.0,16000.0,6378.0,2013
3115,GANGA RIVER AT BARH,BIHAR,18.0,30.0,25.2,5.9,8.8,7.9,7.6,8.1,8.0,262.0,330.0,285.0,2.2,2.5,2.4,0.0,0.0,0.0,700.0,1400.0,1309.0,1700.0,3500.0,2927.0,2013
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,21.0,30.0,26.5,6.1,8.6,7.8,7.8,8.1,8.0,258.0,320.0,275.0,2.2,2.6,2.4,0.0,0.0,0.0,700.0,1700.0,1191.0,1700.0,5000.0,2718.0,2013
3117,GANGA AT U/S SULTANGANJ,BIHAR,22.0,29.0,26.0,6.0,8.6,7.8,7.6,8.1,7.9,268.0,328.0,287.0,2.4,2.6,2.5,0.0,0.0,0.0,900.0,2200.0,1245.0,2200.0,3000.0,2555.0,2013
3118,GANGA AT U/S BHAGALPUR,BIHAR,17.0,28.0,25.1,6.0,8.5,7.7,7.8,8.0,7.9,265.0,362.0,298.0,2.4,2.8,2.6,0.0,0.0,0.0,800.0,1700.0,1355.0,2400.0,5000.0,3164.0,2013
3122,"GANGA AT MALSALAMI, PATNA",BIHAR,10.0,33.0,25.3,7.5,8.8,8.0,7.7,8.2,7.9,289.0,438.0,354.0,2.4,2.7,2.6,0.0,0.0,0.0,900.0,3000.0,1722.0,2400.0,9000.0,4822.0,2013
3123,GANGA RIVER AT BARAHIA,BIHAR,26.0,29.0,27.2,6.0,8.5,7.5,7.6,8.1,8.0,276.0,318.0,287.0,2.0,2.6,2.4,0.0,0.0,0.0,800.0,1300.0,1083.0,2200.0,3000.0,2700.0,2013
1080,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL,20.0,32.0,26.5,6.0,11.0,7.4,7.4,7.8,7.6,230.0,358.0,295.0,4.5,6.9,5.6,0.77,1.26,1.0,1.0,90000.0,15071.0,400.0,160000.0,28547.0,2013
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,16.0,32.0,27.7,5.5,10.6,7.1,7.2,8.0,7.5,212.0,339.0,296.0,1.6,5.9,3.4,0.78,1.55,1.0,700.0,50000.0,14344.0,1100.0,90000.0,26306.0,2013
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,18.0,32.0,27.1,4.9,9.3,6.6,7.6,8.3,8.0,213.0,357.0,284.0,1.0,4.3,2.0,0.427,2.56,2.0,200.0,130000.0,31038.0,400.0,170000.0,42482.0,2013
1054,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL,18.0,52.0,29.3,5.4,9.8,7.1,6.9,7.9,7.5,219.0,359.0,288.0,2.3,5.1,3.5,0.41,1.02,1.0,1.0,500000.0,146000.0,26000.0,900000.0,248588.0,2013
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL,17.0,32.0,26.8,3.9,9.0,5.8,7.1,8.2,7.7,233.0,413.0,309.0,1.8,6.0,3.8,0.387,5.66,4.0,8000.0,500000.0,253188.0,11000.0,900000.0,381824.0,2013
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL,16.0,32.0,26.7,4.0,8.5,5.9,7.6,8.1,7.8,208.0,398.0,292.0,1.1,6.6,3.9,0.11,1.02,1.0,70000.0,1100000.0,425313.0,85000.0,4500000.0,1075588.0,2013
1471,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL,19.0,30.0,25.9,4.4,7.4,6.0,7.2,8.1,7.7,234.0,425.0,304.0,0.8,5.8,3.5,0.3,1.55,1.0,1.0,700000.0,237059.0,110000.0,4500000.0,855882.0,2013
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,20.0,30.0,25.6,4.5,8.5,6.1,7.7,8.2,7.9,230.0,408.0,301.0,1.8,7.5,4.0,0.09,2.56,2.0,1.0,650000.0,300294.0,165000.0,2500000.0,942941.0,2013
1052,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL,15.0,30.0,25.7,3.6,8.8,5.4,7.2,8.1,7.7,249.0,412.0,314.0,0.6,8.4,3.3,0.1,1.44,1.0,4000.0,220000.0,69500.0,11000.0,500000.0,189706.0,2013
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL,18.0,31.5,26.7,4.7,8.6,6.3,7.4,8.0,7.8,240.0,6270.0,1437.0,0.6,4.3,2.5,0.25,1.25,1.0,1.0,170000.0,32824.0,7000.0,500000.0,99647.0,2013
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,16.0,19.0,17.5,7.8,9.2,8.5,8.0,8.2,8.1,,,,0.6,0.8,0.7,0.0,0.0,0.0,,,,,,,2014
1485,"MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,15.0,18.0,16.3,8.6,9.0,8.8,8.0,8.2,8.1,,,,0.6,0.8,0.7,0.0,0.0,0.0,,,,,,,2014
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,15.0,19.0,16.7,7.4,8.4,8.1,7.8,8.2,8.0,,,,0.8,1.2,1.0,0.0,0.0,0.0,,,,,,,2014
